Month,Apr'25,,,,,,,,,,May'25,,,,,,,,,,Jun'25,,,,,,,,,,Quarter 1 (April 25 - June 25) (Yet to Update),,,,,,,,,,July'25,,,,,,,,,,Aug'25,,,,,,,,,,Sep'25,,,,,,,,,,Oct'25,,,,,,,,,,Nov'25,,,,,,,,,,Dec'25,,,,,,,,,
Zone,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY   Total,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Delhi,Gurgaon,Pune,Nagpur,Mauda,Gadarwara,Bangalore,Kolkata,Garo,UPAY Average,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Average,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Summary,Pune,Nagpur,Mauda,Gadarwara,Kolkata,Delhi,Gurgaon,Bangalore,Garo,UPAY Summary
Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out of school children(%),0%,0%,0%,0%,,0%,1%,0%,0%,1%,0%,,0%,0%,,0%,1%,0%,0%,1%,0%,0%,0%,0%,,0%,1%,0%,0%,1%,0%,0%,0%,0%,#DIV/0!,0%,1%,,0%,,0%,,0%,0%,,0%,1%,0%,0%,0%,0%,49%,0%,0%,0%,24%,2%,0%,0%,9%,42%,60%,0%,0%,0%,24%,2%,11%,0%,,0%,0%,0,1%,11%,37%,49%,1%,0%,11%,0%,0%,0%,1%,11%,37%,49%,1%,0%,11%,0%,0%,0%,1%,11%,37%,50%,1%,0%,11%
Children enrolled in Formal School(%),0%,0%,0%,0%,,0%,99%,0%,0%,99%,0%,0%,0%,0%,,0%,99%,0%,0%,99%,0%,0%,0%,0%,,0%,99%,0%,0%,99%,0%,0%,0%,0%,#DIV/0!,0%,99%,,0%,,0%,,0%,0%,0%,0%,99%,0%,0%,12%,100%,51%,100%,100%,100%,76%,98%,100%,100%,92%,59%,40%,0%,88%,100%,76%,98%,89%,50%,,0%,88%,100%,99%,89%,64%,51%,99%,100%,76%,0%,88%,100%,99%,89%,64%,51%,99%,100%,76%,100%,100%,100%,99%,89%,64%,50%,99%,100%,89%
Health Check up camp,0,0,0,0,,1,0,0,0,1,0,,0,0,,0,32,0,0,32,0,0,0,0,,0,32,0,0,32,0,0,0,0,#DIV/0!,0,21,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No of Meals,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Help Groups(number),0,0,0,0,,0,3,0,0,3,0,,0,0,,0,3,0,0,3,0,0,0,0,,0,3,0,0,3,0,0,0,0,#DIV/0!,0,3,,0,,0,,0,0,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Students placed,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,#DIV/0!,0%,0%,,0%,,0%,,0%,0%,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No of external Schoalrship,0,0,0,0,,0,1,0,0,1,0,,0,0,,0,1,0,0,1,0,0,0,0,,0,1,0,0,1,0,0,0,0,#DIV/0!,0,1,,0,,0,,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,0,1,0,5,6,0,0,2,0,0,0,1,0,9
No of students pursuing graduation,0,0,0,0,,0,4,0,0,4,0,,0,0,,0,4,0,0,4,0,0,0,0,,0,4,0,0,4,0,0,0,0,#DIV/0!,0,4,,0,,0,,0,0,,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,,0,0,0,5,0,0,0,2,0,7,2,0,0,11,0,0,0,7,0,20,3,0,19,11,0,0,0,7,0,40
Students Scored higher than 60% marks in 10th,0,0,0,0,,0,3,0,0,3,0,,0,0,,0,3,0,0,3,0,0,0,0,,0,3,0,0,3,0,0,0,0,#DIV/0!,0,3,,0,,0,,0,0,,0,3,0,0,0,1,0,3,15,20,8,0,0,0,47,1,0,0,0,20,8,0,0,0,,0,0,0,8,0,1,0,0,0,9,3,0,20,8,0,2,0,0,0,33,3,0,20,8,0,2,0,0,0,33
Students Scored higher than 60% marks in 12th,0,0,0,0,,0,3,0,0,3,0,,0,0,,0,3,0,0,3,0,0,0,0,,0,3,0,0,3,0,0,0,0,#DIV/0!,0,3,,0,,0,,0,0,,0,3,0,0,0,0,0,1,0,12,2,0,0,0,15,0,0,0,0,12,2,0,0,0,,0,0,0,2,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,4,1,0,12,2,0,0,0,0,0,15
Students enrolled in Library (number),0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,80,0,0,0,0,80,0,0,0,0,81,0,0,0,0,,0,0,38,0,0,0,0,0,0,38,NA,16,97,NA,NA,NA,NA,NA,NA,113,NA,15,97,NA,NA,NA,NA,NA,NA,112
Students Enrolled in career Oriented Courses,0,0,0,0,,0,0,0,1,1,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Students representative district in Sports (number),0,0,0,,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,#DIV/0!,0,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Students Cleared Comptitive Examination(Number),0,0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,#DIV/0!,0,0,,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monthly activities (No of Centers),3,3,4,7,11,3,2,1,2,36,3,3,4,7,11,3,2,1,2,36,3,3,4,7,11,3,2,1,2,36,,,,,,,,,,,3,3,4,8,11,3,2,1,2,37,3,3,4,8,11,3,2,1,2,37,3,3,4,8,11,3,3,1,2,,4,8,8,3,1,3,3,2,2,,4,8,9,3,1,3,3,2,2,,4,8,9,3,1,3,3,2,2,
Center Monthly Report Completion (%),100%,100%,100%,71%,0%,100%,100%,100%,50%,80%,100%,100%,100%,0%,0%,100%,100%,100%,50%,72%,100%,100%,100%,0%,0%,100%,100%,100%,50%,72%,100%,89%,100%,24%,0%,100%,100%,,50%,,100%,33%,100%,0%,0%,67%,0%,100%,50%,50%,100%,100%,100%,100%,100%,100%,50%,100%,100%,94%,100%,100%,100%,100%,100%,100%,50%,100%,100%,,100%,100%,100%,67%,100%,100%,100%,100%,100%,96%,100%,100%,91%,67%,100%,100%,100%,100%,100%,95%,75%,100%,100%,100%,100%,100%,100%,100%,100%,97%
Monthly test conduct (%),67%,100%,100%,57%,82%,67%,50%,0%,50%,64%,67%,100%,75%,0%,0%,67%,0%,100%,50%,51%,33%,67%,100%,0%,27%,100%,0%,100%,50%,53%,56%,89%,92%,19%,36%,78%,17%,,50%,,100%,33%,100%,0%,82%,100%,50%,0%,50%,57%,100%,100%,100%,88%,82%,100%,50%,100%,100%,91%,100%,100%,100%,100%,64%,100%,100%,100%,100%,,100%,75%,100%,100%,100%,100%,100%,67%,100%,94%,100%,88%,64%,100%,100%,100%,100%,100%,100%,95%,100%,88%,64%,100%,100%,100%,100%,100%,100%,95%
Volunteers Meeting (%),0%,100%,25%,29%,64%,100%,0%,0%,0%,35%,0%,100%,75%,13%,0%,67%,0%,0%,0%,28%,33%,67%,0%,71%,0%,100%,0%,0%,0%,30%,11%,89%,33%,38%,21%,89%,0%,,0%,,100%,33%,50%,100%,82%,33%,50%,0%,0%,50%,33%,100%,25%,75%,73%,100%,100%,100%,100%,78%,0%,100%,75%,50%,64%,100%,100%,0%,0%,,50%,50%,56%,100%,0%,100%,100%,67%,0%,58%,75%,50%,73%,100%,100%,100%,100%,100%,0%,78%,25%,75%,45%,100%,100%,100%,100%,0%,0%,61%
Parents Meeting(%),33%,100%,75%,14%,73%,0%,50%,0%,0%,38%,67%,100%,75%,0%,0%,0%,0%,100%,0%,38%,100%,67%,50%,57%,36%,33%,100%,100%,0%,60%,67%,89%,67%,24%,36%,11%,50%,,0%,,67%,33%,50%,88%,64%,67%,50%,0%,0%,46%,67%,100%,50%,63%,73%,0%,0%,100%,0%,50%,100%,100%,50%,50%,64%,0%,100%,700%,0%,,75%,25%,67%,0%,300%,100%,100%,67%,0%,81%,100%,63%,82%,33%,100%,100%,100%,50%,0%,70%,25%,38%,82%,100%,100%,100%,100%,50%,0%,66%
Balsabha (%),100%,100%,75%,57%,73%,33%,100%,100%,0%,71%,100%,100%,75%,0%,0%,33%,50%,100%,0%,51%,100%,67%,50%,14%,45%,33%,0%,100%,50%,51%,100%,89%,67%,24%,39%,33%,50%,,17%,,100%,33%,100%,88%,82%,100%,100%,0%,50%,73%,100%,100%,100%,75%,64%,100%,50%,100%,100%,88%,100%,100%,100%,75%,64%,100%,100%,0%,0%,,100%,63%,67%,100%,100%,100%,100%,100%,100%,92%,100%,75%,64%,100%,100%,100%,100%,100%,50%,88%,75%,63%,73%,0%,100%,100%,100%,100%,0%,68%
Game and Sports (%),100%,100%,75%,43%,73%,100%,100%,100%,100%,88%,100%,100%,25%,0%,0%,100%,100%,100%,100%,69%,67%,67%,25%,29%,0%,100%,100%,100%,50%,60%,89%,89%,42%,24%,24%,100%,100%,,83%,,100%,33%,75%,25%,82%,100%,100%,0%,100%,68%,100%,33%,100%,75%,91%,100%,50%,100%,100%,83%,100%,100%,50%,88%,100%,100%,100%,100%,100%,,100%,75%,78%,100%,100%,100%,100%,100%,100%,95%,75%,75%,82%,100%,0%,100%,100%,100%,100%,81%,75%,75%,91%,100%,100%,100%,100%,100%,100%,93%
Activity Logs Completion,67%,100%,75%,43%,73%,100%,100%,0%,50%,67%,33%,100%,75%,13%,0%,67%,100%,0%,50%,49%,67%,67%,75%,29%,82%,100%,50%,0%,100%,63%,56%,67%,75%,28%,52%,89%,83%,,67%,,100%,33%,100%,75%,73%,67%,0%,100%,100%,72%,100%,100%,100%,100%,100%,100%,50%,100%,100%,94%,100%,100%,100%,63%,100%,100%,100%,100%,100%,,75%,75%,89%,100%,100%,100%,100%,100%,100%,93%,100%,88%,91%,100%,100%,100%,100%,100%,100%,98%,75%,100%,91%,100%,100%,100%,100%,100%,100%,96%
SPR Completion (%),100%,67%,25%,71%,45%,67%,50%,0%,50%,53%,67%,33%,25%,13%,0%,67%,0%,0%,50%,28%,100%,67%,100%,71%,0%,100%,0%,0%,50%,54%,89%,189%,50%,52%,15%,78%,17%,,50%,,100%,33%,100%,88%,82%,100%,0%,100%,100%,78%,100%,100%,100%,88%,100%,100%,0%,100%,100%,88%,100%,100%,75%,88%,164%,100%,50%,0%,100%,,100%,100%,100%,100%,100%,100%,100%,67%,100%,96%,100%,100%,109%,100%,100%,100%,100%,100%,100%,101%,75%,100%,82%,100%,100%,67%,100%,100%,100%,91%
Home Visits (Numbers),3,3,2,1,9,3,0,1,0,2,3,3,1,1,0,2,0,1,0,1,2,2,3,0,1,1,0,1,0,1,3,1,2,1,3,2,0,,0,,1,1,0,1,1,0,0,0,0,4,18,3,12,85,11,30,0,28,0,187,3,3,10,9,18,5,0,1,3,,3,6,1,0,1,2,7,0,1,21,3,7,0,1,1,1,10,0,1,23,2,8,0,1,0,1,9,1,0,22
Seva day (Number),0%,0%,0%,57%,200%,0%,0%,0%,0%,29%,0%,0%,0%,100%,0%,0%,0%,0%,0%,11%,0%,0%,200%,86%,100%,0%,0%,0%,0%,43%,0%,33%,67%,81%,100%,0%,0%,,0%,,0%,0%,0%,88%,33%,0%,0%,0%,0%,121%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3800%,100%,300%,0%,0%,0%,0%,0%,,0%,200%,0%,0%,100%,0%,0%,0%,0%,3,0%,100%,111%,0%,100%,50%,0%,0%,0%,0,100%,100%,0%,0%,0%,50%,33%,0%,0%,31%
Spardha Conduct (Q) (%),0%,300%,0%,43%,0%,0%,0%,0%,0%,38%,0%,100%,0%,100%,0%,0%,0%,0%,0%,22%,0%,0%,0%,57%,0%,0%,0%,0%,0%,6%,0%,200%,0%,67%,0%,0%,0%,,0%,,0%,0%,0%,75%,0%,0%,0%,0%,0%,8%,0%,0%,0%,0%,36%,0%,0%,100%,100%,26%,50%,100%,0%,88%,82%,100%,100%,100%,100%,,0%,0%,0%,0%,0%,0%,0%,33%,0%,4%,75%,100%,0%,100%,100%,50%,100%,50%,50%,69%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
